"gene_name" "tau" "alpha" "sigma" "theta_1"
"1" "BM1_1" 0.268903803929335 1e-10 0.367655103478989 6.52017858888288
"2" "BM1_2" 0.425862269924226 1e-10 0.913822286294873 4.92516800893719
"3" "BM1_3" 0.329965646720539 1e-10 0.233107485188834 4.54662817097804
"4" "BM1_4" 0.146357356832569 1e-10 0.0780973917399162 6.33197378072209
"5" "BM1_5" 0.380208289892816 1e-10 0.983977576751074 2.30858858008199
"6" "BM1_6" 0.204250063269076 1e-10 0.128621539355823 6.53200157782738
"7" "BM1_7" 0.49265675381864 1e-10 0.969728657519763 5.28595090538761
"8" "BM1_8" 0.158481957278402 1e-10 0.0654473391610628 5.95057606144639
"9" "BM1_9" 0.5946867829827 1e-10 1.85902880760971 2.90639610160546
"10" "BM1_10" 0.193664464368521 1e-10 0.224844167042144 3.29993105102882
"11" "BM1_11" 0.24947250879596 1e-10 0.318330133924346 5.56779494332648
"12" "BM1_12" 0.25801123244984 1e-10 0.163979415398757 6.2966327740294
"13" "BM1_13" 0.222546293703449 1e-10 0.245474735427914 5.3699665906618
"14" "BM1_14" 0.434272587277764 1e-10 1.05113035298435 3.06411100665738
"15" "BM1_15" 0.266631918018486 1e-10 0.246653809766987 6.41322510712412
"16" "BM1_16" 0.297911783824222 1e-10 0.355574315341984 2.8635589119258
"17" "BM1_17" 0.168094829876055 1e-10 0.100172597003676 5.21389895123665
"18" "BM1_18" 0.189781016398008 1e-10 0.116150501644286 5.68984747943924
"19" "BM1_19" 0.439162755199072 1e-10 0.849907762025705 2.39338362399863
"20" "BM1_20" 0.316267559546463 1e-10 0.349024722691591 5.44393197799869
"21" "BM1_21" 0.505215535920868 1e-10 0.735847068728431 5.3076536483177
"22" "BM1_22" 0.181418223893901 1e-10 0.113946136399263 6.13639516785087
"23" "BM1_23" 0.244256071395858 1e-10 0.223899561392685 5.16314214055087
"24" "BM1_24" 0.250426674930218 1e-10 0.206323028234808 4.9208021112468
"25" "BM1_25" 0.399272955981472 1e-10 0.681970970363616 4.43680524301835
"26" "BM1_26" 0.299488999247522 1e-10 0.34563901912452 4.754919356803
"27" "BM1_27" 0.218675722437283 1e-10 0.131348260008181 6.24421485653864
"28" "BM1_28" 0.297074838410726 1e-10 0.504846961636404 1.18729211482002
"29" "BM1_29" 0.367814165158551 1e-10 0.808031694216453 5.36937936514946
"30" "BM1_30" 0.384800859259377 1e-10 0.921085113565306 3.63753565953505
"31" "OU1_1" 0.131378307394842 1e-10 0.19396873791162 5.5077760384623
"32" "OU1_2" 0.15046623427978 1e-10 0.24189363614043 5.57715670671991
"33" "OU1_3" 0.170466987148143 1e-10 0.32396097370278 4.17068240335175
"34" "OU1_4" 0.05 1e-10 0.01 6.42198591325091
"35" "OU1_5" 0.294543643151193 1e-10 1.05355604842589 1.36463017582928
"36" "OU1_6" 0.0889342137729892 1e-10 0.0358740371544703 7.39674847624209
"37" "OU1_7" 0.282782810136402 1e-10 1.01656881329396 5.30049505084988
"38" "OU1_8" 0.0935560726676669 1e-10 0.0637500251582938 6.05139221207354
"39" "OU1_9" 0.366852686006197 1e-10 1.55679054700796 2.25744675659471
"40" "OU1_10" 0.14526049962296 1e-10 0.221435344886162 2.67320816418168
"41" "OU1_11" 0.05 1e-10 0.01 6.57357692778267
"42" "OU1_12" 0.05 1e-10 0.01 7.09161441792565
"43" "OU1_13" 0.0858425156242591 1e-10 0.0179947038725803 5.95379492609373
"44" "OU1_14" 0.266312275691528 1e-10 0.838401532808241 2.46637082587741
"45" "OU1_15" 0.0997088522844404 1e-10 0.0795449788786902 6.27978048328458
"46" "OU1_16" 0.196131528041656 1e-10 0.366810682147801 3.00563194409123
"47" "OU1_17" 0.05 1e-10 0.01 5.47589586627809
"48" "OU1_18" 0.0906143308668152 1e-10 0.038545563708996 6.18514432875072
"49" "OU1_19" 0.258175035367955 1e-10 0.769997692817916 0.939505462650707
"50" "OU1_20" 0.0955341136414248 1e-10 0.0534652284286033 5.93515748534771
"51" "OU1_21" 0.05 1e-10 0.01 7.32565779716649
"52" "OU1_22" 0.0891580900233051 1e-10 0.0510965623419129 6.4394003005035
"53" "OU1_23" 0.107826813845078 1e-10 0.0910169334430292 5.49722080109204
"54" "OU1_24" 0.115830598874077 1e-10 0.114980089010716 5.40335186992739
"55" "OU1_25" 0.126546283341836 1e-10 0.160581144372924 4.9335098006389
"56" "OU1_26" 0.113883546126552 1e-10 0.119841328843564 5.82592957528068
"57" "OU1_27" 0.127043384926414 1e-10 0.153430671648072 6.2251410665095
"58" "OU1_28" 0.135899338599378 1e-10 0.182907108229648 0.241058808768415
"59" "OU1_29" 0.304216618289105 1e-10 1.14488465310904 4.27637544378469
"60" "OU1_30" 0.273035549469711 1e-10 0.817257648498371 3.60326185347818
"61" "OUM_1" 0.136827383019499 1e-10 0.170163949685539 5.61609715482087
"62" "OUM_2" 0.160637855391611 1e-10 0.238384422687095 5.66544027451371
"63" "OUM_3" 0.163243605990203 1e-10 0.300448532796684 4.41548373275313
"64" "OUM_4" 0.05 1e-10 0.01 6.30916283258215
"65" "OUM_5" 0.312981283967363 1e-10 0.972336229574816 1.42767274541175
"66" "OUM_6" 0.155026729195165 1e-10 0.109824696279205 7.33554895474753
"67" "OUM_7" 0.243941182559313 1e-10 0.698050405535652 5.28655925309324
"68" "OUM_8" 0.109742193750828 1e-10 0.0857094740730079 6.15879508049807
"69" "OUM_9" 0.386136413712079 1e-10 1.52256092172195 2.1093447926726
"70" "OUM_10" 0.160675450357868 1e-10 0.236974903661613 2.65926455149017
"71" "OUM_11" 0.113577168508624 1e-10 0.0591928554137042 6.44680197901881
"72" "OUM_12" 0.0820493664981628 1e-10 0.0354707040087155 7.03391492135747
"73" "OUM_13" 0.105584268647693 1e-10 0.0755418224749659 5.78442032347891
"74" "OUM_14" 0.290994056132113 1e-10 0.846688415864643 2.42028310463029
"75" "OUM_15" 0.138008229330681 1e-10 0.112572160853634 6.2970822456705
"76" "OUM_16" 0.21353879917761 1e-10 0.422089029013982 2.85576172109049
"77" "OUM_17" 0.05 1e-10 0.01 5.43595176174656
"78" "OUM_18" 0.0933938970139798 1e-10 0.0489701289652895 6.28834641288143
"79" "OUM_19" 0.288432806576591 1e-10 0.754663489211158 1.13890244772149
"80" "OUM_20" 0.0942692855128255 1e-10 0.0542090593413581 5.84660145874606
"81" "OUM_21" 0.0997247490605934 1e-10 0.0520480797848555 7.23489781138069
"82" "OUM_22" 0.105184205214121 1e-10 0.0760056645193622 6.36822326953576
"83" "OUM_23" 0.112040604834352 1e-10 0.0983326863841297 5.63408142135445
"84" "OUM_24" 0.102978620846433 1e-10 0.0833291889669944 5.50765229179918
"85" "OUM_25" 0.129049209619596 1e-10 0.16178936516362 5.01995261760827
"86" "OUM_26" 0.125928020768299 1e-10 0.142267554304666 5.77408281213189
"87" "OUM_27" 0.154969151832469 1e-10 0.159718575144133 6.28027802629239
"88" "OUM_28" 0.193310429843798 1e-10 0.306402410030846 0.459697953962035
"89" "OUM_29" 0.322151835408426 1e-10 1.21477900920976 4.1800247084237
"90" "OUM_30" 0.283219581572778 1e-10 0.918440379980387 3.30854810547906
