"","iter","ll_total","objective","sigma","alpha","tau","converge","settings","gene_name","regime","model","param.count","dataset","ntips","AIC","AICc","delta_AIC","delta_AICc","AIC_weight","AICc_weight","truth","AICc_next_worse","AIC_next_worse"
"1",8,-370.285648961627,-299.444949201513,0.367655103478989,1e-10,0.268903803929335,"converged","BM1_1_BM1","BM1_1","BM1","BM1",3,"SCOUT_PPUPWTtS",256,746.571297923254,746.666536018492,0,0,0.999999949889059,0.99999995230086,"BM1",1.27088032167239,1.20675586710968
"2",9,-308.016260876093,-237.285818036105,0.224844167042144,1e-10,0.193664464368521,"converged","BM1_10_BM1","BM1_10","BM1","BM1",3,"SCOUT_PPUPWTtS",256,622.032521752187,622.127759847425,0,0,0.997881290878955,0.998075483229972,"BM1",1.13611761936181,1.0719931647991
"3",9,-354.283225701427,-283.501763463675,0.318330133924346,1e-10,0.24947250879596,"converged","BM1_11_BM1","BM1_11","BM1","BM1",3,"SCOUT_PPUPWTtS",256,714.566451402853,714.661689498091,0,0,0.999998843506599,0.999998956514353,"BM1",7.14901217615875,7.08488772159603
"4",9,-277.547884198342,-206.722211753843,0.163979415398757,1e-10,0.25801123244984,"converged","BM1_12_BM1","BM1_12","BM1","BM1",3,"SCOUT_PPUPWTtS",256,561.095768396684,561.191006491922,0,0,1,1,"BM1",4.87204716601559,4.62993586366326
"5",9,-320.959928264415,-250.172873900025,0.245474735427914,1e-10,0.222546293703449,"converged","BM1_13_BM1","BM1_13","BM1","BM1",3,"SCOUT_PPUPWTtS",256,647.91985652883,648.015094624068,0,0,0.999999938628401,0.999999941403885,"BM1",1.81604894195459,1.75192448739188
"6",9,-506.064846435784,-435.241923727503,1.05113035298435,1e-10,0.434272587277764,"converged","BM1_14_BM1","BM1_14","BM1","BM1",3,"SCOUT_PPUPWTtS",256,1018.12969287157,1018.22493096681,0,0,0.9999337259225,0.99993985622499,"BM1",0.442688897337916,0.3785644427752
"7",9,-323.85282449702,-253.012087302201,0.246653809766987,1e-10,0.266631918018486,"converged","BM1_15_BM1","BM1_15","BM1","BM1",3,"SCOUT_PPUPWTtS",256,653.705648994041,653.800887089279,0,0,0.999999999999998,0.999999999999998,"BM1",5.35339381736208,5.35339381736208
"8",10,-371.257892336664,-300.440858084965,0.355574315341984,1e-10,0.297911783824222,"converged","BM1_16_BM1","BM1_16","BM1","BM1",3,"SCOUT_PPUPWTtS",256,748.515784673328,748.611022768566,0,0,0.999999999725323,0.999999999754214,"BM1",3.4561464850525,3.21403518270017
"9",7,-206.080095666775,-135.334969920997,0.100172597003676,1e-10,0.168094829876055,"converged","BM1_17_BM1","BM1_17","BM1","BM1",3,"SCOUT_PPUPWTtS",256,418.16019133355,418.255429428788,0,0,0.999999999983495,0.999999999985376,"BM1",1.00377167919117,0.761660376838904
"10",8,-228.843698725117,-158.004533848008,0.116150501644286,1e-10,0.189781016398008,"converged","BM1_18_BM1","BM1_18","BM1","BM1",3,"SCOUT_PPUPWTtS",256,463.687397450234,463.782635545472,0,0,1,1,"BM1",0.0371623900452391,0.208101908487492
"11",10,-482.01635341573,-411.193106220709,0.849907762025705,1e-10,0.439162755199072,"converged","BM1_19_BM1","BM1_19","BM1","BM1",3,"SCOUT_PPUPWTtS",256,970.032706831459,970.127944926698,0,0,0.99999997552641,0.999999976683056,"BM1",12.5285095736136,12.5285095736136
"12",9,-488.280608202537,-417.446052620764,0.913822286294873,1e-10,0.425862269924226,"converged","BM1_2_BM1","BM1_2","BM1","BM1",3,"SCOUT_PPUPWTtS",256,982.561216405073,982.656454500311,0,0,0.999999926505047,0.999999931841882,"BM1",0.947393185818896,0.947393185818896
"13",10,-369.665853427886,-298.826159715519,0.349024722691591,1e-10,0.316267559546463,"converged","BM1_20_BM1","BM1_20","BM1","BM1",3,"SCOUT_PPUPWTtS",256,745.331706855772,745.42694495101,0,0,0.999999999999944,0.999999999999949,"BM1",1.23959106748225,1.23959106748225
"14",11,-469.774797194575,-398.937219533552,0.735847068728431,1e-10,0.505215535920868,"converged","BM1_21_BM1","BM1_21","BM1","BM1",3,"SCOUT_PPUPWTtS",256,945.549594389151,945.644832484389,0,0,1,1,"BM1",0.398392128296109,0.398392128296109
"15",8,-224.620900965563,-153.79073669682,0.113946136399263,1e-10,0.181418223893901,"converged","BM1_22_BM1","BM1_22","BM1","BM1",3,"SCOUT_PPUPWTtS",256,455.241801931126,455.337040026364,0,0,0.999999999999999,0.999999999999999,"BM1",0.13027520969473,4.43016898775204
"16",10,-312.692697056099,-241.875817116209,0.223899561392685,1e-10,0.244256071395858,"converged","BM1_23_BM1","BM1_23","BM1","BM1",3,"SCOUT_PPUPWTtS",256,631.385394112198,631.480632207436,0,0,0.999999999999781,0.99999999999979,"BM1",3.82559219991037,3.58348089755805
"17",11,-305.125337741349,-234.323249166824,0.206323028234808,1e-10,0.250426674930218,"converged","BM1_24_BM1","BM1_24","BM1","BM1",3,"SCOUT_PPUPWTtS",256,616.250675482697,616.345913577935,0,0,0.999999999999941,0.999999999999946,"BM1",5.78184626948951,5.78184626948951
"18",9,-452.047934747627,-381.207060159714,0.681970970363616,1e-10,0.399272955981472,"converged","BM1_25_BM1","BM1_25","BM1","BM1",3,"SCOUT_PPUPWTtS",256,910.095869495255,910.191107590493,0,0,0.999999999938247,0.999999999942806,"BM1",7.63333233978722,7.5692078852245
"19",10,-367.587881882537,-296.758460432799,0.34563901912452,1e-10,0.299488999247522,"converged","BM1_26_BM1","BM1_26","BM1","BM1",3,"SCOUT_PPUPWTtS",256,741.175763765073,741.271001860311,0,0,0.999999999971914,0.999999999974884,"BM1",1.41347860601002,1.17136730365769
"20",10,-249.943532611365,-179.120101550731,0.131348260008181,1e-10,0.218675722437283,"converged","BM1_27_BM1","BM1_27","BM1","BM1",3,"SCOUT_PPUPWTtS",256,505.88706522273,505.982303317968,0,0,1,1,"BM1",9.30113996331681,9.3011399633167
"21",9,-411.164458080156,-340.346389778721,0.504846961636404,1e-10,0.297074838410726,"converged","BM1_28_BM1","BM1_28","BM1","BM1",3,"SCOUT_PPUPWTtS",256,828.328916160312,828.42415425555,0,0,0.99999360924939,0.999994025393756,"BM1",11.7062732825696,11.4641619802172
"22",9,-472.306723546201,-401.505666665585,0.808031694216453,1e-10,0.367814165158551,"converged","BM1_29_BM1","BM1_29","BM1","BM1",3,"SCOUT_PPUPWTtS",256,950.613447092401,950.708685187639,0,0,0.998010745301619,0.998124722536498,"BM1",7.86490211244075,7.80077765787803
"23",11,-326.529521405701,-255.692131283026,0.233107485188834,1e-10,0.329965646720539,"converged","BM1_3_BM1","BM1_3","BM1","BM1",3,"SCOUT_PPUPWTtS",256,659.059042811403,659.154280906641,0,0,1,1,"BM1",4.48099258820093,4.23888128584861
"24",9,-488.754304795446,-417.952551959498,0.921085113565306,1e-10,0.384800859259377,"converged","BM1_30_BM1","BM1_30","BM1","BM1",3,"SCOUT_PPUPWTtS",256,983.508609590892,983.60384768613,0,0,0.986854070006554,0.987520295608796,"BM1",2.74686838415357,2.74686838415357
"25",8,-176.82419445322,-105.985008716951,0.0780973917399162,1e-10,0.146357356832569,"converged","BM1_4_BM1","BM1_4","BM1","BM1",3,"SCOUT_PPUPWTtS",256,359.64838890644,359.743627001678,0,0,0.999999999999964,0.999999999999966,"BM1",2.89418530518401,2.83006085062129
"26",9,-495.635059004375,-424.821942629478,0.983977576751074,1e-10,0.380208289892816,"converged","BM1_5_BM1","BM1_5","BM1","BM1",3,"SCOUT_PPUPWTtS",256,997.27011800875,997.365356103988,0,0,0.857727328764557,0.864609454874209,"BM1",4.35865097686246,4.29452652229975
"27",9,-243.865416538842,-173.025307677906,0.128621539355823,1e-10,0.204250063269076,"converged","BM1_6_BM1","BM1_6","BM1","BM1",3,"SCOUT_PPUPWTtS",256,493.730833077683,493.826071172921,0,0,0.999999999999993,0.999999999999993,"BM1",3.60022809601463,3.53610364145192
"28",9,-498.59785554204,-427.757833943613,0.969728657519763,1e-10,0.49265675381864,"converged","BM1_7_BM1","BM1_7","BM1","BM1",3,"SCOUT_PPUPWTtS",256,1003.19571108408,1003.29094917932,0,0,0.999999999994791,0.999999999995233,"BM1",0.345602504031717,0.10349120167939
"29",9,-161.584547604631,-90.7637248629769,0.0654473391610628,1e-10,0.158481957278402,"converged","BM1_8_BM1","BM1_8","BM1","BM1",3,"SCOUT_PPUPWTtS",256,329.169095209263,329.264333304501,0,0,1,1,"BM1",2.89480531312449,2.83068085856178
"30",9,-578.568403474881,-507.729570065344,1.85902880760971,1e-10,0.5946867829827,"converged","BM1_9_BM1","BM1_9","BM1","BM1",3,"SCOUT_PPUPWTtS",256,1163.13680694976,1163.232045045,0,0,0.999998559293496,0.999998636593349,"BM1",27.5888512330557,27.524726778493
"31",6,-235.859819958452,-216.476360871924,0.660537229443515,0.952140189426952,0.113862754775776,"converged","OU1_1_OU1","OU1_1","OU1","OU1",4,"SCOUT_PPUPWTtS",256,479.719639916904,479.879002466705,0,0,0.680301538321594,0.699338810593098,"OU1",1.68830263639012,1.51031578860056
"32",6,-260.438341179513,-241.098247198971,0.765998809583648,0.913658664809501,0.131185322274956,"converged","OU1_10_OU1","OU1_10","OU1","OU1",4,"SCOUT_PPUPWTtS",256,528.876682359027,529.036044908828,0,0,0.587086402572048,0.608479908996837,"OU1",0.881854124983761,0.703867277194149
"33",7,108.537884980126,126.315564091879,0.0350966273699101,0.792277059721439,0.05,"converged","OU1_11_OU1","OU1_11","OU1","OU1",4,"SCOUT_PPUPWTtS",256,-209.075769960253,-208.916407410452,0,0,0.798511957985992,0.812333605170024,"OU1",0.906276145145654,0.970400599708341
"34",9,304.996566579808,322.213586238749,0.01,1.10001779587763,0.05,"converged","OU1_12_OU1","OU1_12","OU1","OU1",4,"SCOUT_PPUPWTtS",256,-601.993133159616,-601.833770609815,0,0,0.839514914073607,0.851145864823573,"OU1",3.48723330000655,3.30924645221694
"35",26,-3.40851318059242,64.9918957034071,0.0179947038725803,1e-10,0.0858425156242591,"early_stop_oscillating","OU1_13_BM1","OU1_13","BM1","BM1",3,"SCOUT_PPUPWTtS",256,12.8170263611848,12.9122644564229,0,0,0.999999999947801,0.999999999951559,"OU1",7.5346944019605,7.29258309960824
"36",8,-424.856744168791,-405.496568114762,2.74462195875879,0.90572037732962,0.258669396999935,"converged","OU1_14_OUM","OU1_14","OUM","OUM",6,"SCOUT_PPUPWTtS",256,861.713488337581,862.050837735172,0,0,0.593324868540642,0.571686167010962,"OU1",0.577468000420708,0.75545484821032
"37",6,-140.184003910869,-121.293108026512,0.307039940715845,0.913351466259464,0.0693999187061974,"converged","OU1_15_OU1","OU1_15","OU1","OU1",4,"SCOUT_PPUPWTtS",256,288.368007821738,288.527370371539,0,0,0.868670369799194,0.878494138617098,"OU1",0.993422620697231,0.815435772907676
"38",6,-340.256250797122,-321.83425487087,1.27707871011004,0.801381947952743,0.186425695616696,"converged","OU1_16_OU1","OU1_16","OU1","OU1",4,"SCOUT_PPUPWTtS",256,688.512501594244,688.671864144045,0,0,0.605034134351411,0.626089988685271,"OU1",1.03095791140083,0.852971063611221
"39",10,165.578300953687,182.871790269591,0.0204100422716459,0.784966631407947,0.05,"converged","OU1_17_OUM","OU1_17","OUM","OUM",6,"SCOUT_PPUPWTtS",256,-319.156601907374,-318.819252509783,0,0,0.988685566087863,0.987645502678681,"OU1",6.40078607735705,6.64289737970932
"40",9,-77.0112959847175,-58.0434203740305,0.188539702839075,0.921192004242722,0.0519099046239547,"converged","OU1_18_OU1","OU1_18","OU1","OU1",4,"SCOUT_PPUPWTtS",256,162.022591969435,162.181954519236,0,0,0.761839710225231,0.777604770128092,"OU1",1.44208186181689,1.50620631637958
"41",7,-413.896539070265,-394.514455665603,2.5035339595033,0.906942968619814,0.251133969346938,"converged","OU1_19_OUM","OU1_19","OUM","OUM",6,"SCOUT_PPUPWTtS",256,839.793078140529,840.13042753812,0,0,0.651268994712671,0.630794903462215,"OU1",1.07125693753289,1.24924378532251
"42",6,-272.825237089772,-253.640975820743,0.836364167031216,0.895075504520027,0.134812947308001,"converged","OU1_2_OU1","OU1_2","OU1","OU1",4,"SCOUT_PPUPWTtS",256,553.650474179545,553.809836729346,0,0,0.565541448637661,0.587266464142069,"OU1",0.705352932079563,0.527366084289952
"43",8,-110.013484331306,-91.0672403987977,0.239316304103665,0.904632807485614,0.0625077445411191,"converged","OU1_20_OU1","OU1_20","OU1","OU1",4,"SCOUT_PPUPWTtS",256,228.026968662613,228.186331212414,0,0,0.683193997056712,0.702134425741483,"OU1",1.71496670514338,1.5369798573538
"44",21,212.643815807132,229.521967650778,0.0126949576333736,0.784351524765425,0.05,"converged","OU1_21_OU1","OU1_21","OU1","OU1",4,"SCOUT_PPUPWTtS",256,-417.287631614264,-417.128269064463,0,0,0.869422686774215,0.879198006411697,"OU1",3.96971469401052,3.79172784622097
"45",9,-99.0667237553365,-80.2004541164409,0.211421505519576,0.871340668701365,0.0621630977794338,"converged","OU1_22_OU1","OU1_22","OU1","OU1",4,"SCOUT_PPUPWTtS",256,206.133447510673,206.292810060474,0,0,0.876732975650886,0.886032766171242,"OU1",4.1016861696838,3.92369932189422
"46",6,-167.521183952142,-148.935894223513,0.350641549828717,0.84002059976632,0.0840604947305537,"converged","OU1_23_OU1","OU1_23","OU1","OU1",4,"SCOUT_PPUPWTtS",256,343.042367904284,343.201730454084,0,0,0.743076256769143,0.759695855781325,"OU1",2.3020255535601,2.12403870577054
"47",6,-192.159433007732,-173.496533492039,0.425176364282276,0.84272981226475,0.0948316092243379,"converged","OU1_24_OU1","OU1_24","OU1","OU1",4,"SCOUT_PPUPWTtS",256,392.318866015465,392.478228565266,0,0,0.720305018600512,0.73787801370192,"OU1",2.06993705182987,1.89195020404031
"48",6,-222.157877737078,-202.990798238971,0.565474401207578,0.899604724508944,0.108807010644921,"converged","OU1_25_OU1","OU1_25","OU1","OU1",4,"SCOUT_PPUPWTtS",256,452.315755474157,452.475118023958,0,0,0.803308953332972,0.816991876035169,"OU1",0.355871654565192,0.177884806775637
"49",6,-184.14192760643,-164.707649679757,0.426124396668596,0.930659240764978,0.0969127518289798,"converged","OU1_26_OU1","OU1_26","OU1","OU1",4,"SCOUT_PPUPWTtS",256,376.28385521286,376.443217762661,0,0,0.880656840837633,0.889697843812782,"OU1",4.17531685858404,3.99733001079449
"50",5,-221.84634180672,-202.894729046962,0.55106804720849,0.872034192018277,0.108129543328608,"converged","OU1_27_OU1","OU1_27","OU1","OU1",4,"SCOUT_PPUPWTtS",256,451.692683613439,451.85204616324,0,0,0.598802579508084,0.619981984049908,"OU1",0.623071860717573,0.623071860717573
"51",6,-244.633468359568,-225.941071780135,0.64343603116261,0.844668882653002,0.118451885083491,"converged","OU1_28_OU1","OU1_28","OU1","OU1",4,"SCOUT_PPUPWTtS",256,497.266936719135,497.426299268936,0,0,0.826906152740007,0.839275960743705,"OU1",0.516551477104144,0.58067593166686
"52",6,-463.494569714436,-444.105707264997,3.73000015900614,0.909352407392272,0.297433349027471,"converged","OU1_29_OU1","OU1_29","OU1","OU1",4,"SCOUT_PPUPWTtS",256,934.989139428872,935.148501978673,0,0,0.848227580470629,0.859332894357481,"OU1",3.61952047590682,3.44153362811721
"53",6,-307.552257458493,-288.288299282314,1.0986555538834,0.900714486038468,0.15790301396519,"converged","OU1_3_OU1","OU1_3","OU1","OU1",4,"SCOUT_PPUPWTtS",256,623.104514916986,623.263877466786,0,0,0.839612601705592,0.851237727209721,"OU1",2.90359594410052,2.96772039866323
